# Posiciones de boyas (X, Y) [m]
# Formato: X	Y
3.200000	1.500000
9.560000	1.500000
15.880000	1.500000
22.320000	1.500000
28.680000	1.500000
35.000000	1.500000
41.440000	1.500000
47.760000	1.500000

# Series de tiempo
# Formato: Time[s]	Eta1[m]	Eta2[m]	Eta3[m]	Eta4[m]	Eta5[m]	Eta6[m]	Eta7[m]	Eta8[m]
81.7261215021	0.0109632351	0.0306870863	-0.0133407153	0.0624312721	-0.0102462815	-0.0505598038	-0.0005684910	-0.0070027201
81.7715551921	0.0163722690	0.0262038130	-0.0146223912	0.0760817230	-0.0029113665	-0.0504459366	-0.0084014796	-0.0073385620
81.8139599694	0.0210904796	0.0216759369	-0.0161071029	0.0874097347	0.0042227362	-0.0500516556	-0.0142598571	-0.0076169041
81.8563647467	0.0254162829	0.0170458145	-0.0178276151	0.0965340734	0.0114171701	-0.0493988059	-0.0188378990	-0.0078019481
81.8987695240	0.0292972736	0.0125200097	-0.0197381042	0.1027661189	0.0184170566	-0.0484962054	-0.0222789831	-0.0078434357
81.9381453886	0.0324765705	0.0085661793	-0.0216406975	0.1054657325	0.0244955122	-0.0474398769	-0.0245874021	-0.0076959711
81.9775212532	0.0352418609	0.0049685789	-0.0236283336	0.1049248129	0.0299281962	-0.0461761355	-0.0261620209	-0.0073526879
82.0138682052	0.0374379084	0.0020365028	-0.0255070943	0.1017274782	0.0341754369	-0.0448257923	-0.0270714257	-0.0068329717
82.0502151572	0.0393142216	-0.0004777719	-0.0274004955	0.0960598737	0.0375221036	-0.0432972722	-0.0275071748	-0.0061007515
82.0835331965	0.0407799818	-0.0023962175	-0.0291277505	0.0890036523	0.0397174805	-0.0417364202	-0.0275810659	-0.0052333521
82.1198801485	0.0421368629	-0.0040637814	-0.0309817716	0.0796952248	0.0410795398	-0.0398539640	-0.0273663681	-0.0040682256
82.1592560131	0.0433683358	-0.0053837853	-0.0329316221	0.0682827383	0.0411698781	-0.0375935994	-0.0268424489	-0.0025496848
82.1956029651	0.0443299077	-0.0061906376	-0.0346578285	0.0570677184	0.0401470922	-0.0352912843	-0.0261527058	-0.0009201656
82.2289210044	0.0450987183	-0.0066057267	-0.0361639000	0.0466303416	0.0382820889	-0.0329866260	-0.0253903586	0.0007518241
82.2652679563	0.0458477922	-0.0067317528	-0.0377104357	0.0354534909	0.0353411138	-0.0302448478	-0.0244591478	0.0027481073
82.3046438210	0.0465872213	-0.0066166692	-0.0392582566	0.0239580963	0.0312495846	-0.0269840043	-0.0233800225	0.0050773942
82.3409907729	0.0472273268	-0.0062942072	-0.0405576341	0.0141649581	0.0268145557	-0.0236811321	-0.0223596599	0.0073380261
82.3803666376	0.0478920154	-0.0058011841	-0.0418139398	0.0046181097	0.0215065740	-0.0197550021	-0.0212689433	0.0098487306
82.4227714149	0.0485827886	-0.0051953266	-0.0429793261	-0.0043281042	0.0154513875	-0.0150823612	-0.0201549102	0.0125442119
82.4621472795	0.0491979271	-0.0046477979	-0.0438777506	-0.0113832988	0.0097302226	-0.0102919405	-0.0192127991	0.0149550447
82.5015231441	0.0497750901	-0.0041886079	-0.0445904955	-0.0172779188	0.0040935846	-0.0050312877	-0.0183887202	0.0171910021
82.5439279214	0.0503310673	-0.0038626436	-0.0451433770	-0.0224182419	-0.0017215768	0.0011923733	-0.0176591724	0.0193059240
82.5833037861	0.0507589355	-0.0037947325	-0.0454590432	-0.0261714160	-0.0067739934	0.0075076334	-0.0171435457	0.0209107138
82.6196507380	0.0510558635	-0.0039490755	-0.0455284528	-0.0288523398	-0.0110789221	0.0137940086	-0.0168072879	0.0220201500
82.6590266027	0.0512523986	-0.0043657143	-0.0454284996	-0.0309970025	-0.0153169474	0.0210737865	-0.0166211519	0.0227838848
82.7014313800	0.0512655936	-0.0051395320	-0.0450529158	-0.0325194672	-0.0193701629	0.0293916482	-0.0165906958	0.0229494963
82.7408072446	0.0511081778	-0.0061535193	-0.0444486849	-0.0332922637	-0.0226658341	0.0374510363	-0.0167231634	0.0225986894
82.7771541966	0.0508030728	-0.0073286747	-0.0436578803	-0.0334625132	-0.0253263842	0.0450462103	-0.0169619285	0.0217713416
82.8165300612	0.0503067784	-0.0088367192	-0.0425287411	-0.0331960917	-0.0278242175	0.0532597341	-0.0173259843	0.0203606244
82.8559059258	0.0496527851	-0.0105552217	-0.0410907157	-0.0324311778	-0.0299582481	0.0612246804	-0.0177729931	0.0184496883
82.8983107031	0.0487974063	-0.0125933019	-0.0391600281	-0.0310989823	-0.0318953879	0.0692091584	-0.0183121767	0.0158927143
